file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed3185.out,68.18,29.98,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed3995.out,195.92,86.08,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed4291.out,71.09,31.00,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed4510.out,186.69,75.66,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed5404.out,210.97,87.60,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed7178.out,170.34,76.67,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed7566.out,75.45,33.59,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed7927.out,190.05,84.01,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed9921.out,177.19,76.85,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed2026.out,161.95,75.26,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed3110.out,220.59,96.47,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed4064.out,168.03,69.22,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed4340.out,30.78,17.46,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed4857.out,138.00,64.63,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed5511.out,163.15,75.97,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed5994.out,138.90,64.15,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed6007.out,75.18,35.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed6862.out,196.03,85.39,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_y__seed9185.out,147.38,63.98,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_x_and_y__seed1780.out,63.10,28.73,5.000000000000e+02
